Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria,Kriteria_Clean,Kriteria_CF,Kriteria_Token,Kriteria_Stemming,Kriteria_Stopword
PT. Tirta Bahtera Sejahtera,Staff Accounting,Tangerang,Rp 4 – 5 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['6-10 Tahun', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']", Tahun Staff  Officer Akuntansi Akuntansi Finansial, tahun staff  officer akuntansi akuntansi finansial,"['tahun', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']","['tahun', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']",staff officer akuntansi akuntansi finansial
PT ANEKA MAS MOTOR,Staff Accounting,Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']", Tahun Staff  Officer Akuntansi Akuntansi Finansial, tahun staff  officer akuntansi akuntansi finansial,"['tahun', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']","['tahun', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']",staff officer akuntansi akuntansi finansial
PT. Power Pack Industrial Solution,Teknisi Maintenance (Listrik),Gresik,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Teknik', 'Teknik Elektro / Elektronika']",DiplomaDDD Sarjana  S  Tahun Junior  Entry Level Teknik Teknik Elektro  Elektronika,diplomaddd sarjana  s  tahun junior  entry level teknik teknik elektro  elektronika,"['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'teknik', 'teknik', 'elektro', 'elektronika']","['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'teknik', 'teknik', 'elektro', 'elektronika']",diplomaddd sarjana s junior entry level teknik teknik elektro elektronika
CV Sweda Gembira,Graphic Designer,Yogyakarta,Rp 2 – 3 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']", Tahun Staff  Officer Desain  Arsitektur Desain Grafis, tahun staff  officer desain  arsitektur desain grafis,"['tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']","['tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']",staff officer desain arsitektur desain grafis
Mitrasindo Printing,Staff Packing,Jakarta Utara,Negosiasi,Part Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Transportasi & Logistik', 'Packing']",Junior  Entry Level Transportasi  Logistik Packing,junior  entry level transportasi  logistik packing,"['junior', 'entry', 'level', 'transportasi', 'logistik', 'packing']","['junior', 'entry', 'level', 'transportasi', 'logistik', 'packing']",junior entry level transportasi logistik packing
PT. Power Pack Industrial Solution,Admin Accounting,Surabaya,Rp 4 – 5 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Master / S2', '3-5 Tahun', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']",Sarjana  S Master  S  Tahun Junior  Entry Level Akuntansi Akuntansi Finansial,sarjana  s master  s  tahun junior  entry level akuntansi akuntansi finansial,"['sarjana', 's', 'master', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']","['sarjana', 's', 'master', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']",sarjana s master s junior entry level akuntansi akuntansi finansial
PT. ERA BANGUNAN,Kasir,Jakarta Pusat,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']",Fresh Graduate Junior  Entry Level Ritel Asisten Ritel,fresh graduate junior  entry level ritel asisten ritel,"['fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']","['fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']",fresh graduate junior entry level ritel asisten ritel
PT. Synergy Worldwide Indonesia,Office Girl,Jakarta Selatan,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Keterampilan & Jasa', 'Kebersihan & Bantuan Operasional']", Tahun Staff  Officer Keterampilan  Jasa Kebersihan  Bantuan Operasional, tahun staff  officer keterampilan  jasa kebersihan  bantuan operasional,"['tahun', 'staff', 'officer', 'keterampilan', 'jasa', 'kebersihan', 'bantuan', 'operasional']","['tahun', 'staff', 'officer', 'terampil', 'jasa', 'bersih', 'bantu', 'operasional']",staff officer terampil jasa bersih bantu operasional
PT Tricipta Agung Sejahtera,Sales B2B,Surabaya,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",Sarjana  S Staff  Officer Sales  Penjualan Konsultan Penjualan,sarjana  s staff  officer sales  penjualan konsultan penjualan,"['sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",sarjana s staff officer sales jual konsultan jual
PT Home Faucets Indonesia,Sales Manager,Mojokerto,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Manager / Assistant Manager', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Sarjana  S  Tahun Manager  Assistant Manager Sales  Penjualan Konsultan Penjualan,diplomaddd sarjana  s  tahun manager  assistant manager sales  penjualan konsultan penjualan,"['diplomaddd', 'sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd sarjana s manager assistant manager sales jual konsultan jual
PT Wadah Arta Agung,SPV Sales (Property),Cikarang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Fresh Graduate', 'Supervisor / Coordinator', 'Properti & Real Estate', 'Penjualan Rumah']",DiplomaDDD Sarjana  S  Tahun Fresh Graduate Supervisor  Coordinator Properti  Real Estate Penjualan Rumah,diplomaddd sarjana  s  tahun fresh graduate supervisor  coordinator properti  real estate penjualan rumah,"['diplomaddd', 'sarjana', 's', 'tahun', 'fresh', 'graduate', 'supervisor', 'coordinator', 'properti', 'real', 'estate', 'penjualan', 'rumah']","['diplomaddd', 'sarjana', 's', 'tahun', 'fresh', 'graduate', 'supervisor', 'coordinator', 'properti', 'real', 'estate', 'jual', 'rumah']",diplomaddd sarjana s fresh graduate supervisor coordinator properti real estate jual rumah
Braincode Sinergi Nusantara,Flutter Mobile Developer,Remote,Rp 3 – 4 Juta,Part Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']",DiplomaDDD Sarjana  S  Tahun Staff  Officer IT  Information Technology Programmer  Software Development,diplomaddd sarjana  s  tahun staff  officer it  information technology programmer  software development,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']",diplomaddd sarjana s staff officer it information technology programmer software development
PT Guoyu Feng Indonesia,Host Live Streaming,Tangerang Selatan,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']",Staff  Officer Sales  Penjualan ECommerce  Marketplace,staff  officer sales  penjualan ecommerce  marketplace,"['staff', 'officer', 'sales', 'penjualan', 'ecommerce', 'marketplace']","['staff', 'officer', 'sales', 'jual', 'ecommerce', 'marketplace']",staff officer sales jual ecommerce marketplace
Royal Stone Jakarta,Chief Marketing Communication Officer,Jakarta Pusat,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Public Relation / Humas']", Tahun Fresh Graduate Staff  Officer Marketing  Pemasaran Public Relation  Humas, tahun fresh graduate staff  officer marketing  pemasaran public relation  humas,"['tahun', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pemasaran', 'public', 'relation', 'humas']","['tahun', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pasar', 'public', 'relation', 'humas']",fresh graduate staff officer marketing pasar public relation humas
PT.TRIWIJAYA GEMALESTARI,Staff Adiminstrasi,Surabaya,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Administrasi', 'Staf Admin']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Administrasi Staf Admin,diplomaddd sarjana  s fresh graduate staff  officer administrasi staf admin,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'administrasi', 'staf', 'admin']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'administrasi', 'staf', 'admin']",diplomaddd sarjana s fresh graduate staff officer administrasi staf admin
PT Agrowisata Magnet Rezeki,Marketing Inhouse,Bogor,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Properti & Real Estate', 'Penjualan Rumah']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Properti  Real Estate Penjualan Rumah,diplomaddd sarjana  s  tahun staff  officer properti  real estate penjualan rumah,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'properti', 'real', 'estate', 'penjualan', 'rumah']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'properti', 'real', 'estate', 'jual', 'rumah']",diplomaddd sarjana s staff officer properti real estate jual rumah
PT Wadah Arta Agung,Sales Property,Cikarang,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Properti & Real Estate', 'Penjualan Rumah']",DiplomaDDD Junior  Entry Level Properti  Real Estate Penjualan Rumah,diplomaddd junior  entry level properti  real estate penjualan rumah,"['diplomaddd', 'junior', 'entry', 'level', 'properti', 'real', 'estate', 'penjualan', 'rumah']","['diplomaddd', 'junior', 'entry', 'level', 'properti', 'real', 'estate', 'jual', 'rumah']",diplomaddd junior entry level properti real estate jual rumah
PT. Bangun Usaha Mulia,Host Video,Depok,Negosiasi,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Sales / Penjualan', 'E-Commerce & Marketplace']",DiplomaDDD Sarjana  S Junior  Entry Level Sales  Penjualan ECommerce  Marketplace,diplomaddd sarjana  s junior  entry level sales  penjualan ecommerce  marketplace,"['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'sales', 'penjualan', 'ecommerce', 'marketplace']","['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'sales', 'jual', 'ecommerce', 'marketplace']",diplomaddd sarjana s junior entry level sales jual ecommerce marketplace
PT MAZMUR ALAM SEMESTA,Technical Marketing,Bekasi,Rp 5 – 6 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['Staff / Officer', 'Marketing / Pemasaran', 'Riset & Analisis Pasar']",Staff  Officer Marketing  Pemasaran Riset  Analisis Pasar,staff  officer marketing  pemasaran riset  analisis pasar,"['staff', 'officer', 'marketing', 'pemasaran', 'riset', 'analisis', 'pasar']","['staff', 'officer', 'marketing', 'pasar', 'riset', 'analisis', 'pasar']",staff officer marketing pasar riset analisis pasar
PT Tricipta Agung Sejahtera,Sales B2B,Jakarta Barat,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",Sarjana  S Staff  Officer Sales  Penjualan Konsultan Penjualan,sarjana  s staff  officer sales  penjualan konsultan penjualan,"['sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",sarjana s staff officer sales jual konsultan jual
Primas Sukses Cv,Staff Toko Material,Tangerang Selatan,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Ritel', 'Asisten Ritel']",DiplomaDDD Staff  Officer Ritel Asisten Ritel,diplomaddd staff  officer ritel asisten ritel,"['diplomaddd', 'staff', 'officer', 'ritel', 'asisten', 'ritel']","['diplomaddd', 'staff', 'officer', 'ritel', 'asisten', 'ritel']",diplomaddd staff officer ritel asisten ritel
PT Pradana Grasindo Travel,Staff Graphic Designer,Jakarta Utara,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']",Sarjana  S Fresh Graduate Staff  Officer Desain  Arsitektur Desain Grafis,sarjana  s fresh graduate staff  officer desain  arsitektur desain grafis,"['sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']","['sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']",sarjana s fresh graduate staff officer desain arsitektur desain grafis
PT DARLINGS JAYA INDONESIA,Marketing Koordinator,Jakarta Selatan,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Manajemen Pemasaran']",DiplomaDDD Sarjana  S  Tahun Supervisor  Coordinator Marketing  Pemasaran Manajemen Pemasaran,diplomaddd sarjana  s  tahun supervisor  coordinator marketing  pemasaran manajemen pemasaran,"['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pemasaran', 'manajemen', 'pemasaran']","['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pasar', 'manajemen', 'pasar']",diplomaddd sarjana s supervisor coordinator marketing pasar manajemen pasar
LPK Harenohi Indonesia,Guru Bahasa Jepang,Jakarta Pusat,Rp 3 – 4 Juta,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Pendidikan Dan Pelatihan Tutor  Instruktur,diplomaddd sarjana  s fresh graduate staff  officer pendidikan dan pelatihan tutor  instruktur,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'pendidikan', 'dan', 'pelatihan', 'tutor', 'instruktur']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'didik', 'dan', 'latih', 'tutor', 'instruktur']",diplomaddd sarjana s fresh graduate staff officer didik latih tutor instruktur
Central Conveyor Belting,General Admin,Jakarta Barat,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Administrasi', 'Staf Admin']",DiplomaDDD  Tahun Staff  Officer Administrasi Staf Admin,diplomaddd  tahun staff  officer administrasi staf admin,"['diplomaddd', 'tahun', 'staff', 'officer', 'administrasi', 'staf', 'admin']","['diplomaddd', 'tahun', 'staff', 'officer', 'administrasi', 'staf', 'admin']",diplomaddd staff officer administrasi staf admin
PT ATHIF BERKAH INDONESIA,Crew Stockist,Ungaran,Rp 2 – 3 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Transportasi & Logistik', 'Warehouse']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Transportasi  Logistik Warehouse,diplomaddd sarjana  s fresh graduate junior  entry level transportasi  logistik warehouse,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'warehouse']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'warehouse']",diplomaddd sarjana s fresh graduate junior entry level transportasi logistik warehouse
PT. ENERGI KHARISMA ABADI,Teknisi Forklift Diesel dan Electric,Sidoarjo,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '6-10 Tahun', 'Staff / Officer', 'Teknik', 'Teknik Mesin']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Teknik Teknik Mesin,diplomaddd sarjana  s  tahun staff  officer teknik teknik mesin,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'teknik', 'teknik', 'mesin']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'teknik', 'teknik', 'mesin']",diplomaddd sarjana s staff officer teknik teknik mesin
PT Agrowisata Magnet Rezeki,Legal Officer,Depok,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Hukum', 'Legal Staff']", Tahun Staff  Officer Hukum Legal Staff, tahun staff  officer hukum legal staff,"['tahun', 'staff', 'officer', 'hukum', 'legal', 'staff']","['tahun', 'staff', 'officer', 'hukum', 'legal', 'staff']",staff officer hukum legal staff
CV ESTEEM SUPPLIES,Staff Pola,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Busana & Tekstil']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Desain  Arsitektur Desain Busana  Tekstil,diplomaddd sarjana  s  tahun staff  officer desain  arsitektur desain busana  tekstil,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']",diplomaddd sarjana s staff officer desain arsitektur desain busana tekstil
CV ESTEEM SUPPLIES,Desain Produk,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Busana & Tekstil']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Desain  Arsitektur Desain Busana  Tekstil,diplomaddd sarjana  s  tahun staff  officer desain  arsitektur desain busana  tekstil,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']",diplomaddd sarjana s staff officer desain arsitektur desain busana tekstil
CV ESTEEM SUPPLIES,Penjahit Tas,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Keterampilan & Jasa', 'Penjahit & Konveksi']",DiplomaDDD  Tahun Staff  Officer Keterampilan  Jasa Penjahit  Konveksi,diplomaddd  tahun staff  officer keterampilan  jasa penjahit  konveksi,"['diplomaddd', 'tahun', 'staff', 'officer', 'keterampilan', 'jasa', 'penjahit', 'konveksi']","['diplomaddd', 'tahun', 'staff', 'officer', 'terampil', 'jasa', 'jahit', 'konveksi']",diplomaddd staff officer terampil jasa jahit konveksi
PT Dayup Indo,Staff R&D (Sport Accessories),Jakarta Utara,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Desain & Arsitektur', 'Desain Busana & Tekstil']",Sarjana  S Fresh Graduate Junior  Entry Level Desain  Arsitektur Desain Busana  Tekstil,sarjana  s fresh graduate junior  entry level desain  arsitektur desain busana  tekstil,"['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']","['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']",sarjana s fresh graduate junior entry level desain arsitektur desain busana tekstil
PT. Kurnia Wijaya Aneka Industri,Sales Executive,Sidoarjo,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Sarjana  S  Tahun Junior  Entry Level Sales  Penjualan Konsultan Penjualan,diplomaddd sarjana  s  tahun junior  entry level sales  penjualan konsultan penjualan,"['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd sarjana s junior entry level sales jual konsultan jual
My Capsule Batavia,Cook Staff,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Restaurant', 'Koki / Chef']",DiplomaDDD Staff  Officer Restaurant Koki  Chef,diplomaddd staff  officer restaurant koki  chef,"['diplomaddd', 'staff', 'officer', 'restaurant', 'koki', 'chef']","['diplomaddd', 'staff', 'officer', 'restaurant', 'koki', 'chef']",diplomaddd staff officer restaurant koki chef
PT Ganesha Karya Persada (Ganesha Work),Talent Acquisition ( Internship ),Depok,Rp 1 - 2 Juta,Magang,SMA / SMK / STM,,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Human Resources', 'Staf Rekrutmen']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Human Resources Staf Rekrutmen,diplomaddd sarjana  s fresh graduate junior  entry level human resources staf rekrutmen,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'human', 'resources', 'staf', 'rekrutmen']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'human', 'resources', 'staf', 'rekrutmen']",diplomaddd sarjana s fresh graduate junior entry level human resources staf rekrutmen
Arba Citra Rasa,Sales Manager Property,Jakarta Selatan,Rp 8 – 9 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['6-10 Tahun', 'Manager / Assistant Manager', 'Properti & Real Estate', 'Manajemen Properti']", Tahun Manager  Assistant Manager Properti  Real Estate Manajemen Properti, tahun manager  assistant manager properti  real estate manajemen properti,"['tahun', 'manager', 'assistant', 'manager', 'properti', 'real', 'estate', 'manajemen', 'properti']","['tahun', 'manager', 'assistant', 'manager', 'properti', 'real', 'estate', 'manajemen', 'properti']",manager assistant manager properti real estate manajemen properti
PT Wira Niaga,Staf Administrasi Keuangan,Jakarta Barat,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']",Sarjana  S  Tahun Junior  Entry Level Akuntansi Akuntansi Finansial,sarjana  s  tahun junior  entry level akuntansi akuntansi finansial,"['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']","['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']",sarjana s junior entry level akuntansi akuntansi finansial
PT. Unitama Analitika Perkasa Cab Surabaya,Sales Marketing,Surabaya,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']",Sarjana  S Fresh Graduate Junior  Entry Level Sales  Penjualan Konsultan Penjualan,sarjana  s fresh graduate junior  entry level sales  penjualan konsultan penjualan,"['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sales', 'penjualan', 'konsultan', 'penjualan']","['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sales', 'jual', 'konsultan', 'jual']",sarjana s fresh graduate junior entry level sales jual konsultan jual
Assa Hair & Beauty Salon,Call Center,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Layanan Pelanggan', 'Call Center']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Layanan Pelanggan Call Center,diplomaddd sarjana  s fresh graduate junior  entry level layanan pelanggan call center,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'layanan', 'pelanggan', 'call', 'center']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'layan', 'langgan', 'call', 'center']",diplomaddd sarjana s fresh graduate junior entry level layan langgan call center
Assa Hair & Beauty Salon,General Administration,Surabaya,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Administrasi Staf Admin,diplomaddd sarjana  s fresh graduate junior  entry level administrasi staf admin,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']",diplomaddd sarjana s fresh graduate junior entry level administrasi staf admin
PT Emaklon Indo Manufaktur,Apoteker Penanggung Jawab,Tulungagung,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Manager / Assistant Manager', 'Kesehatan & Medis', 'Apoteker & Farmasi']",Manager  Assistant Manager Kesehatan  Medis Apoteker  Farmasi,manager  assistant manager kesehatan  medis apoteker  farmasi,"['manager', 'assistant', 'manager', 'kesehatan', 'medis', 'apoteker', 'farmasi']","['manager', 'assistant', 'manager', 'sehat', 'medis', 'apoteker', 'farmasi']",manager assistant manager sehat medis apoteker farmasi
Assa Hair & Beauty Salon,Capster,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Kecantikan & Perawatan', 'Tata Rambut & Salon']",Fresh Graduate Junior  Entry Level Kecantikan  Perawatan Tata Rambut  Salon,fresh graduate junior  entry level kecantikan  perawatan tata rambut  salon,"['fresh', 'graduate', 'junior', 'entry', 'level', 'kecantikan', 'perawatan', 'tata', 'rambut', 'salon']","['fresh', 'graduate', 'junior', 'entry', 'level', 'cantik', 'awat', 'tata', 'rambut', 'salon']",fresh graduate junior entry level cantik awat tata rambut salon
